,nom,latitude,longitude,gid_0,name_0,gid_1,name_1,gid_2,name_2,gid_3,name_3,gid_4,name_4,gid_5,name_5,id,idplace,idauteur,date_review,country
16,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",346775517,244980,862D733D184E304C24BFA8E066C4B3E4,2016-02-10,France
17,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",345830044,244980,CC48C75F9F115D9A9FC2DC31231BD148,2016-02-08,France
18,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",345458711,244980,127E609DC78EA0035A3B0F7B812CB79A,2016-02-06,France
19,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",344323275,244980,17E4876D7D7AF16BF77AE1DB9C9E5083,2016-02-01,France
20,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",342571565,244980,2A619700D4E6EA717B784883E72065D3,2016-01-25,France
21,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",342523373,244980,E62F7BBC10C753E977DDAD35C41F7C35,2016-01-25,France
22,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",341862624,244980,1B096B982A9893721C615406920F000A,2016-01-22,France
23,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",341756260,244980,84E21C6032198AA7E9168C3577161015,2016-01-21,France
24,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",341411173,244980,59BDC5389AC305874E8A16F2F219A5B3,2016-01-20,-
25,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",341390385,244980,3B3D79CB81ACB2CCFDE3F4238054F23A,2016-01-20,France
26,Cirque d'hiver Bouglione,"48,863281","2,367029",FRA,France,FRA.8_1,Île-de-France,FRA.8.3_1,Paris,FRA.8.3.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1_1,"Paris, 11e arrondissement",FRA.8.3.1.1.1_1,"Paris, 11e arrondissement",340685215,244980,6B49EBD00BD8BAD9994CB8B08609685E,2016-01-17,-
